index,ATR,Date,modified_chg,chg,period_flunc,c10,c20,c40
92,0.015548168976294097,2012-11-30,1.2407,1.2407,0.053563117023100904,0.09489822441335762,0.1549920531099399,0.25063170319111316
161,0.018909802154177962,2013-03-19,0.6074,0.6074,0.05723560279870832,-0.009263495373572045,-0.01490954615256394,0.06677731791308911
174,0.018639685282159976,2013-04-09,0.7935,0.7935,0.050734613426977604,-0.01244238479636972,0.030322288113506072,0.022999667965054243
216,0.016457829372218572,2013-06-14,1.3038,1.3038,0.08759706728684613,-0.09120309329277182,-0.05046857841447414,-0.02008294744174302
224,0.017987483158634018,2013-06-26,1.0802,1.0802,0.10353780435106008,0.02226131144336942,0.06132707905794972,0.08830255057167989
307,0.016377153327246124,2013-10-30,1.5408,1.5408,0.06259235837835886,-0.04330090670632215,0.021989521586770526,-0.012557572753371755
346,0.01575120234233184,2013-12-24,0.5053,0.5053,0.05895820835832832,-0.004379443743702229,0.0041151973392148135,0.012493570004157328
360,0.015965518760417376,2014-01-14,1.471,1.471,0.052474807197057216,0.0251860085698407,0.08466572243039241,0.02875020169603969
388,0.015571522479583167,2014-02-28,1.0809,1.0809,0.06445474265430884,-0.02022757762593588,-0.02162474020422216,-0.048612221349478436
429,0.01566679570000211,2014-04-29,1.1918,1.1918,0.0729134210276765,-0.002350172021039714,0.013642550026895196,0.029342854357926412
679,0.02009982900676516,2015-05-08,3.0711448073440546,3.0788,0.06260731153201626,0.15288807361125686,0.27132501575133877,-0.12155767615247305
715,0.03333883095969105,2015-06-30,4.237468951512192,5.471,0.16004102404464837,-0.11994515932189566,-0.15672731665001258,-0.30312180873842914
722,0.040080012928941436,2015-07-09,3.5131422002933235,4.9733,0.23128616763113685,0.17161696924455636,0.04984710728539132,-0.14050966830153985
736,0.04626897733160353,2015-07-29,2.624518877730051,3.9919,0.10805299529612811,0.028297178510672857,-0.2247048911419939,-0.20156663941713437
740,0.04698127024663861,2015-08-04,2.938214516881111,4.5033,0.05724548370305049,0.009770082594509705,-0.1775446063007138,-0.1619462454812688
757,0.050765052689040115,2015-08-27,2.838519920104271,4.5223,0.2361779820523484,-0.017613142198695836,-0.0018299655198294011,0.10144498845510282
763,0.05244775737995687,2015-09-08,2.1523067279196324,3.4854,0.072112135724689,0.006403769700334017,0.0679324129098248,0.2017406014298108
769,0.05343518773586154,2015-09-16,3.5287350428302613,5.7679,0.09703540161821367,-0.006688002351824946,0.08577034517931549,0.20700959660410723
843,0.024264088581140795,2016-01-06,2.096861652205197,2.3096,0.10023719876198123,-0.12192397807583034,-0.19067552267228116,-0.1793245348010751
849,0.02723704800999418,2016-01-14,2.539708505130257,2.9638,0.0877970726103412,-0.12347820009348125,-0.027314861328918544,-0.04060754052672734
860,0.029363509941010578,2016-01-29,2.9159443808023275,3.5332,0.11104416514192306,0.07491136992137014,0.03025576967972833,0.11664512588720347
877,0.03122364161971353,2016-03-01,1.6505362342316399,2.0623,0.11072212272206128,0.03939356612008382,0.0859629927516804,0.1061017759711323
914,0.02722554095668228,2016-04-22,0.5944780496082525,0.6936,0.05425801292730048,-0.039731652810517125,-0.03390201129192377,0.0004985589895870587
929,0.022982350982200146,2016-05-16,1.23622977249779,1.3252,0.071055063256103,-0.011803106628333403,0.023947774985466637,0.09387971145950905
983,0.016347846500819226,2016-08-02,0.6968,0.6968,0.050651113493947464,0.05361754732517406,0.04339284595085847,0.023985148140383893
1172,0.00949989421905875,2017-05-16,1.5435930245635658,1.5045,0.0897622308430217,-0.023201725755342222,0.009878133659578292,0.03418007167591078
1358,0.013053105135283584,2018-02-12,1.852,1.852,0.1327038285899962,0.0488721390481519,0.06686769412402173,0.012786315448644425
1384,0.013959769605994033,2018-03-27,1.6324,1.6324,0.06469676627879362,0.0017818034913140693,-0.03387552890646608,-0.01985073674810244
1427,0.013077083378350528,2018-05-31,1.7783,1.7783,0.057703861026730086,-0.0208396288216832,-0.0894904128443403,-0.08587082871051496
1440,0.014566723044312894,2018-06-20,0.7338,0.7338,0.07831685536597022,-0.045223697236435725,-0.031822139526007584,-0.07528297610954071
1474,0.017202179761289658,2018-08-07,2.7422,2.7422,0.08788441240031541,-0.015857639736392454,-0.013093930518265398,-0.049278943942722246
1519,0.018217365842356743,2018-10-17,0.6646,0.6646,0.11718836340832162,0.02016369262804762,0.06581253434363896,0.04760968273707966
1549,0.02023910474664142,2018-11-28,1.2441848341814863,1.2516,0.0543509227311576,-0.004466040230090392,-0.05205066825703513,-0.010985084799797793
1567,0.020810719877565262,2018-12-24,0.5851578357923933,0.5969,0.053236676517737336,0.010977781085583728,0.023435487287529096,0.1889466482701764
1650,0.02138672594837247,2019-04-30,0.630701175038934,0.6522,0.05741132051185782,-0.06509002846812535,-0.06760444907732964,-0.012386687137788836
1718,0.01597485698263262,2019-08-08,1.0334,1.0334,0.06461592795338156,0.043257504602789855,0.08512482965317768,0.07680617458961052
1833,0.012949841756502425,2020-02-04,1.7316,1.7316,0.12018665294804498,0.10676203264034792,0.12020596379177516,0.0022132283321845245
1852,0.0164107925867543,2020-03-02,3.6183,3.6183,0.060851316438550906,-0.07704104975330628,-0.09981806739024439,-0.06647735937812121
1866,0.02184962346023817,2020-03-20,1.4036303054372175,1.4671,0.10699005981141319,-0.002879962414846187,0.04009631195677698,0.048191214470284155
1946,0.016078175243844712,2020-07-20,3.0723,3.0723,0.07586710230709792,0.03102005348092185,0.03446423976161079,-0.011205260076156263
2094,0.016233521465116134,2021-03-01,1.8885,1.8885,0.06018482890611665,-0.059689784337568406,-0.05024843808964746,-0.03638866758913732
2102,0.018239412458826442,2021-03-11,2.4505,2.4505,0.07679552735070194,-0.02461722435384818,0.0009739044950003303,0.01085600886234759
2197,0.013507067120392504,2021-07-29,2.5,2.5,0.07063454792973833,0.0365264622864812,0.020373949534965755,0.02222127305150092
2318,0.010988917274231035,2022-01-26,0.661,0.661,0.05004868348522229,-0.008320104014768936,-0.0006896006781071963,-0.07070023202189475
2344,0.014448203558434814,2022-03-10,1.8035,1.8035,0.08241270591098271,-0.008732879992337926,-0.05829518245378794,-0.09883727612297664
2376,0.02086861032590165,2022-04-27,3.435000837898908,3.5088,0.12860447185813406,0.0483686541813298,0.07342887909501665,0.19586363081295305
2466,0.014811186932797578,2022-09-06,1.3555,1.3555,0.05085759340588181,-0.047054040505709396,-0.08111799231883535,-0.05763636435402827
2475,0.014251639439739757,2022-09-20,0.6957,0.6957,0.05655983425804578,-0.05844803552067746,-0.04924157158345802,-0.008987557437141915
2486,0.014256748900241246,2022-10-12,2.1207,2.1207,0.052401318125054885,0.002257341191429453,0.025554562793175046,0.06487654427052
2539,0.016035095758549438,2022-12-26,1.0587,1.0587,0.05700986256748486,0.04066488447020438,0.07868812335556498,0.07929156635657576
2621,0.010622524172436155,2023-04-28,1.3489,1.3489,0.05149161606897534,-0.016393901748616314,-0.03681276143722214,-0.02779061416617156
